"","semana_epidemilogica","indice_permanencia_domiciliar"
"1","202011",4.6
"2","202012",216.2
"3","202013",2547.2
"4","202014",6229.8
"5","202015",12987
"6","202016",17882.4
"7","202017",29565.6
"8","202018",39259.8
"9","202019",35919.2
"10","202020",39999.6
"11","202021",39660.6
"12","202022",32533.6
"13","202023",23659
"14","202024",23387.6
"15","202025",19930.2
"16","202026",16343
"17","202027",8401.6
"18","202028",3917.6
"19","202029",6773.2
"20","202030",4649.2
"21","202031",1392.4
"22","202032",-3705.2
"23","202033",-2454.4
"24","202034",-1498.6
"25","202035",-2383.6
"26","202036",-7823.4
"27","202037",-5475.2
"28","202038",-2454.4
"29","202039",2796.6
"30","202040",-3209.6
"31","202041",-8118.4
"32","202042",-1817.2
"33","202043",-3374.8
"34","202044",-5156.6
"35","202045",-3752.4
"36","202046",-8944.4
"37","202047",-5463.4
"38","202048",-6985.6
"39","202049",-14207.2
"40","202050",-9593.4
"41","202051",-15351.8
"42","202052",-5817.4
"43","202053",13617.2
"44","202101",19411
"45","202102",32473.6
"46","202103",41052.2
"47","202104",49748.8
"48","202105",39754.2
"49","202106",34987
"50","202107",34786.4
"51","202108",21959.8
"52","202109",18679.4
"53","202110",16449.2
"54","202111",14219
"55","202112",12449
"56","202113",12142.2
"57","202114",3953
"58","202115",4743.6
"59","202116",5793.8
"60","202117",224.2
"61","202118",-8165.6
"62","202119",-6301.2
"63","202120",-6525.4
"64","202121",-10443
"65","202122",-14726.4
"66","202123",-8814.6
"67","202124",-11764.6
"68","202125",-12142.2
"69","202126",-15788.4
"70","202127",-19635.2
"71","202128",-15812
"72","202129",-16024.4
"73","202130",-17995
"74","202131",-22538
"75","202132",-19658.8
"76","202133",-17582
"77","202134",-18915.4
"78","202135",-21771
"79","202136",-15387.2
"80","202137",-18750.2
"81","202138",-17582
"82","202139",-21794.6
"83","202140",-26266.8
"84","202141",-18443.4
"85","202142",-19788.6
"86","202143",-21771
"87","202144",-17475.8
"88","202145",-25098.6
"89","202146",-16850.4
"90","202147",-25216.6
"91","202148",-30750.8
"92","202149",-25263.8
"93","202150",-25629.6
"94","202151",-23954
"95","202152",-10018.2
"96","202201",-15741.2
"97","202202",-13688
"98","202203",-7481.2
"99","202204",-11847.2
"100","202205",-23883.2
"101","202206",-27104.6
"102","202207",-25476.2
"103","202208",-27612
"104","202209",-16260.4
"105","202210",-24921.6
"106","202211",-24095.6
"107","202212",-23541
"108","202213",-2442.6
